casename,whole tumor,tumor core,enhancing tumor
BRATS_32088,0.8011,0.6953,0.8398
BRATS_32089,0.8095,0.6947,0.7927
BRATS_32090,0.8480,0.7365,0.7697
BRATS_32091,0.8149,0.6776,0.7290
BRATS_32092,0.8720,0.7418,0.7578
BRATS_32093,0.8948,0.7783,0.8134
BRATS_32094,0.8891,0.8016,0.8050
BRATS_32095,0.8896,0.8015,0.8302
BRATS_32096,0.8953,0.8065,0.8418
BRATS_32097,0.8857,0.8119,0.8376
BRATS_32098,0.8905,0.8056,0.8152
BRATS_32099,0.8954,0.8222,0.8105
BRATS_32100,0.8875,0.8136,0.8175
BRATS_32101,0.8881,0.8199,0.8172
BRATS_32102,0.8988,0.8454,0.8267
BRATS_32103,0.9133,0.8611,0.8213
BRATS_32104,0.9319,0.8702,0.8496
BRATS_32105,0.9308,0.8831,0.8325
BRATS_32106,0.9236,0.8768,0.8564
BRATS_32107,0.9085,0.8579,0.8734
BRATS_32256,0.3052,0.3052,0.0000
BRATS_32257,0.4886,0.4886,0.0000
BRATS_32258,0.5287,0.5287,0.0000
BRATS_32259,0.5226,0.5226,0.0000
BRATS_32260,0.5568,0.5568,nan
BRATS_32261,0.6343,0.6343,nan
BRATS_32262,0.6590,0.6590,nan
BRATS_32263,0.6750,0.6750,nan
BRATS_32264,0.7379,0.7379,nan
BRATS_32265,0.8032,0.8032,0.0000
BRATS_32266,0.7940,0.7940,0.0000
BRATS_32267,0.7552,0.7483,0.7797
BRATS_32268,0.7135,0.6996,0.8679
BRATS_32269,0.6986,0.6739,0.7922
BRATS_32270,0.6919,0.6705,0.7364
BRATS_32271,0.7386,0.6776,0.7059
BRATS_32272,0.7874,0.7247,0.7447
BRATS_32273,0.8022,0.7575,0.7709
BRATS_32274,0.8063,0.7666,0.8081
BRATS_32275,0.8302,0.7928,0.8865
BRATS_32424,0.8214,0.7757,0.8692
BRATS_32425,0.8335,0.8025,0.9282
BRATS_32426,0.8448,0.8170,0.8708
BRATS_32427,0.8587,0.8442,0.8818
BRATS_32428,0.8500,0.8467,0.8390
BRATS_32429,0.7992,0.8047,0.7927
BRATS_32430,0.6992,0.7103,0.6818
BRATS_32431,0.5252,0.5338,0.0870
BRATS_32432,0.4377,0.4514,nan
BRATS_32433,0.5676,0.5783,nan
