,casename,whole tumor,tumor core,enhancing tumor
0,BRATS_00002,0.9381,0.8225,0.8641
1,BRATS_00003,0.938,0.8475,0.8938
2,BRATS_00006,0.9227,0.8442,0.9037
3,BRATS_00008,0.9258,0.8409,0.9143
4,BRATS_00016,0.7712,0.777,0.0
5,BRATS_00017,0.6857,0.6701,
6,BRATS_00170,0.7305,0.7168,0.0
7,BRATS_00172,0.7826,0.7634,0.6154
8,BRATS_00176,0.8564,0.8564,0.8837
9,BRATS_00180,0.8494,0.8514,0.9091
10,BRATS_00181,0.8428,0.837,0.8829
11,BRATS_00338,0.9612,0.9613,0.9846
12,BRATS_00343,0.9723,0.9612,0.9558
13,BRATS_00347,0.9799,0.9721,0.9661
14,BRATS_00348,0.9812,0.9769,0.97
15,BRATS_00351,0.9782,0.9721,0.9702
16,BRATS_00508,0.6781,0.6551,0.0
17,BRATS_00510,0.8991,0.882,0.806
18,BRATS_00511,0.9426,0.9203,0.8615
19,BRATS_00516,0.961,0.9034,0.9418
20,BRATS_00517,0.963,0.9245,0.9401
21,BRATS_00519,0.9528,0.8947,0.9228
22,BRATS_00520,0.9663,0.9105,0.8939
23,BRATS_00675,,,
24,BRATS_00682,0.8103,0.8103,
25,BRATS_00684,0.8882,0.8882,
26,BRATS_00687,0.8988,0.8988,0.0
27,BRATS_00688,0.8487,0.8487,0.1786
28,BRATS_00690,0.9229,0.918,0.902
29,BRATS_00691,0.9346,0.9335,0.9455
30,BRATS_00856,0.9696,0.9512,0.9585
31,BRATS_01014,0.9718,0.9375,0.9581
32,BRATS_01019,0.9737,0.9365,0.9459
33,BRATS_01024,0.9732,0.9455,0.9648
34,BRATS_01176,,,
35,BRATS_01180,0.0,0.0,0.0
36,BRATS_01182,0.7435,0.7953,0.7556
37,BRATS_01184,0.8583,0.8411,0.8641
38,BRATS_01187,0.9156,0.8345,0.879
39,BRATS_01189,0.9249,0.8668,0.8909
40,BRATS_01190,0.9478,0.8833,0.8838
41,BRATS_01195,0.957,0.8974,0.8905
42,BRATS_01344,0.7611,0.7627,
43,BRATS_01350,0.9281,0.9268,0.9412
44,BRATS_01518,0.9251,0.9263,0.0
